Data,A/V,Estado,Valor de Entrada,Caução
07/08/24,Aluguel,PB,,500
07/08/24,Aluguel,MA,,500
07/08/24,Aluguel,CE,,700
08/08/24,Aluguel,PA,,500
08/08/24,Aluguel,AP,,700
08/08/24,Aluguel,SE,,500
08/08/24,Aluguel,PI,,700
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,MG,,700
08/08/24,Aluguel,PA,,500
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,AP,,500
08/08/24,Aluguel,RO,,500
08/08/24,Aluguel,AL,,500
08/08/24,Aluguel,PB,,700
08/08/24,Aluguel,MA,,700
08/08/24,Aluguel,DF,,500
08/08/24,Aluguel,MT,,500
08/08/24,Aluguel,AP,,500
08/08/24,Aluguel,SP,,500
08/08/24,Aluguel,SP,,700
08/08/24,Aluguel,BA,,500
08/08/24,Aluguel,CE,,700
08/08/24,Aluguel,PE,,500
08/08/24,Aluguel,SC,,700
08/08/24,Aluguel,SC,,700
08/08/24,Aluguel,SC,,700
08/08/24,Aluguel,BA,,500
08/08/24,Aluguel,SC,,700
08/08/24,Aluguel,BA,,700
08/08/24,Aluguel,PE,,500
08/08/24,Aluguel,PR,,700
08/08/24,Aluguel,BA,,700
08/08/24,Aluguel,PR,,700
08/08/24,Aluguel,PE,,700
08/08/24,Aluguel,PE,,500
08/08/24,Aluguel,PE,,700
08/08/24,Aluguel,AP,,500
08/08/24,Aluguel,RN,,700
08/08/24,Aluguel,AP,,500
08/08/24,Aluguel,BA,,500
08/08/24,Aluguel,MT,,500
08/08/24,Aluguel,AC,,500
08/08/24,Aluguel,SE,,700
08/08/24,Aluguel,PI,,700
09/08/24,Aluguel,RS,,500
09/08/24,Aluguel,MT,,700
09/08/24,Aluguel,PA,,500
09/08/24,Aluguel,RJ,,700
09/08/24,Aluguel,RS,,500
09/08/24,Aluguel,CE,,700
09/08/24,Aluguel,BA,,500
09/08/24,Aluguel,GO,,700
09/08/24,Aluguel,PR,,500
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,SP,,500
09/08/24,Aluguel,MT,,700
09/08/24,Aluguel,BA,,500
09/08/24,Aluguel,PA,,700
09/08/24,Aluguel,SP,,700
09/08/24,Aluguel,ES,,700
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,SP,,500
09/08/24,Aluguel,ES,,700
09/08/24,Aluguel,BA,,700
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,SP,,700
09/08/24,Aluguel,ES,,500
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,SP,,700
09/08/24,Aluguel,ES,,700
09/08/24,Aluguel,BA,,500
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,SP,,700
09/08/24,Aluguel,BA,,700
09/08/24,Aluguel,MG,,700
09/08/24,Aluguel,ES,,700
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,PE,,700
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,PR,,700
09/08/24,Aluguel,SC,,500
09/08/24,Aluguel,PE,,500
09/08/24,Aluguel,SC,,500
09/08/24,Aluguel,AL,,500
09/08/24,Aluguel,PR,,700
09/08/24,Aluguel,AL,,500
09/08/24,Aluguel,BA,,700
09/08/24,Aluguel,RO,,500
09/08/24,Aluguel,AP,,500
09/08/24,Aluguel,RN,,500
09/08/24,Aluguel,CE,,700
09/08/24,Aluguel,RR,,700
09/08/24,Aluguel,MA,,700
10/08/24,Aluguel,MG,,500
10/08/24,Aluguel,SC,,700
10/08/24,Aluguel,PA,,500
10/08/24,Aluguel,SP,,700
10/08/24,Aluguel,AM,,500
10/08/24,Aluguel,SP,,500
10/08/24,Aluguel,MG,,700
10/08/24,Aluguel,AM,,500
10/08/24,Aluguel,RJ,,500
10/08/24,Aluguel,PR,,500
10/08/24,Aluguel,DF,,500
10/08/24,Aluguel,MS,,700
10/08/24,Aluguel,MG,,500
10/08/24,Aluguel,SP,,700
10/08/24,Aluguel,ES,,700
10/08/24,Aluguel,MG,,700
10/08/24,Aluguel,SP,,500
10/08/24,Aluguel,ES,,700
10/08/24,Aluguel,BA,,700
10/08/24,Aluguel,AL,,700
10/08/24,Aluguel,AL,,700
10/08/24,Aluguel,AL,,700
10/08/24,Aluguel,AL,,700
10/08/24,Aluguel,SP,,500
10/08/24,Aluguel,AL,,700
10/08/24,Aluguel,PR,,700
10/08/24,Aluguel,SC,,500
10/08/24,Aluguel,PE,,700
10/08/24,Aluguel,PR,,700
10/08/24,Aluguel,PE,,700
10/08/24,Aluguel,BA,,700
10/08/24,Aluguel,SC,,500
10/08/24,Aluguel,BA,,700
10/08/24,Aluguel,DF,,600
10/08/24,Aluguel,RR,,700
10/08/24,Aluguel,RO,,700
10/08/24,Aluguel,CE,,500
10/08/24,Aluguel,GO,,700
10/08/24,Aluguel,AP,,500
10/08/24,Aluguel,PE,,500
10/08/24,Aluguel,RO,,500
10/08/24,Aluguel,BA,,700
12/08/24,Aluguel,MS,,700
12/08/24,Aluguel,SP,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,BA,,500
12/08/24,Aluguel,PA,,700
12/08/24,Aluguel,GO,,500
12/08/24,Aluguel,SC,,700
12/08/24,Aluguel,SP,,500
12/08/24,Aluguel,MT,,700
12/08/24,Aluguel,MG,,500
12/08/24,Aluguel,PR,,700
12/08/24,Aluguel,PA,,500
12/08/24,Aluguel,BA,,700
12/08/24,Aluguel,PR,,500
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,MG,,500
12/08/24,Aluguel,BA,,700
12/08/24,Aluguel,PR,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,GO,,500
12/08/24,Aluguel,CE,,700
12/08/24,Aluguel,PA,,500
12/08/24,Aluguel,MT,,700
12/08/24,Aluguel,MG,,500
12/08/24,Aluguel,SC,,700
12/08/24,Aluguel,GO,,500
12/08/24,Aluguel,PR,,700
12/08/24,Aluguel,SC,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,BA,,700
12/08/24,Aluguel,CE,,700
12/08/24,Aluguel,SE,,700
12/08/24,Aluguel,PB,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,SP,,700
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,PR,,500
12/08/24,Aluguel,ES,,700
12/08/24,Aluguel,PE,,500
12/08/24,Aluguel,AL,,700
12/08/24,Aluguel,PE,,500
12/08/24,Aluguel,RJ,,700
12/08/24,Aluguel,SC,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,AL,,500
12/08/24,Aluguel,ES,,700
12/08/24,Aluguel,MG,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,MG,,500
12/08/24,Aluguel,MG,,700
12/08/24,Aluguel,PE,,700
12/08/24,Aluguel,AL,,500
12/08/24,Aluguel,BA,,700
12/08/24,Aluguel,SC,,500
12/08/24,Aluguel,PR,,700
12/08/24,Aluguel,AL,,500
12/08/24,Aluguel,PR,,700
12/08/24,Aluguel,PI,,700
12/08/24,Aluguel,AC,,700
12/08/24,Aluguel,MT,,500
12/08/24,Aluguel,AC,,500
12/08/24,Aluguel,SE,,500
12/08/24,Aluguel,AL,,700
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,GO,,700
13/08/24,Aluguel,MG,,500
13/08/24,Aluguel,PA,,700
13/08/24,Aluguel,BA,,500
13/08/24,Aluguel,GO,,700
13/08/24,Aluguel,MG,,500
13/08/24,Aluguel,PR,,700
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,GO,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,GO,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,700
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,PR,,700
13/08/24,Aluguel,PE,,500
13/08/24,Aluguel,SC,,700
13/08/24,Aluguel,MG,,500
13/08/24,Aluguel,PR,,700
13/08/24,Aluguel,PE,,500
13/08/24,Aluguel,RJ,,700
13/08/24,Aluguel,SC,,500
13/08/24,Aluguel,MG,,700
13/08/24,Aluguel,BA,,700
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,AL,,700
13/08/24,Aluguel,SP,,500
13/08/24,Aluguel,AL,,500
13/08/24,Aluguel,BA,,700
13/08/24,Aluguel,PE,,500
13/08/24,Aluguel,PE,,700
13/08/24,Aluguel,BA,,700
13/08/24,Aluguel,SC,,500
13/08/24,Aluguel,BA,,700
13/08/24,Aluguel,SC,,500
13/08/24,Aluguel,MS,,550
13/08/24,Aluguel,TO,,500
13/08/24,Aluguel,ES,,500
13/08/24,Aluguel,PB,,500
13/08/24,Aluguel,RR,,500
13/08/24,Aluguel,ES,,700
13/08/24,Aluguel,PE,,700
14/08/24,Aluguel,SC,,500
14/08/24,Aluguel,BA,,700
14/08/24,Aluguel,SP,,500
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,AM,,500
14/08/24,Aluguel,RJ,,500
14/08/24,Aluguel,PR,,500
14/08/24,Aluguel,DF,,500
14/08/24,Aluguel,MS,,700
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,SP,,700
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,ES,,500
14/08/24,Aluguel,SC,,700
14/08/24,Aluguel,MG,,500
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,BA,,500
14/08/24,Aluguel,AL,,700
14/08/24,Aluguel,ES,,500
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,BA,,500
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,BA,,700
14/08/24,Aluguel,PE,,500
14/08/24,Aluguel,PR,,700
14/08/24,Aluguel,AL,,500
14/08/24,Aluguel,PE,,500
14/08/24,Aluguel,PE,,700
14/08/24,Aluguel,PE,,700
14/08/24,Aluguel,PA,,450
14/08/24,Aluguel,MA,,700
14/08/24,Aluguel,PB,,700
14/08/24,Aluguel,MG,,500
14/08/24,Aluguel,AP,,700
14/08/24,Aluguel,RN,,500
14/08/24,Aluguel,PE,,500
14/08/24,Aluguel,RO,,500
14/08/24,Aluguel,PR,,500
14/08/24,Aluguel,PB,,700
15/08/24,Aluguel,MG,,500
15/08/24,Aluguel,BA,,700
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,SP,,700
15/08/24,Aluguel,MG,,500
15/08/24,Aluguel,RS,,700
