Data,A/V,Estado,Valor de Entrada,Caução
17/08/24,Venda,SC,2500,
17/08/24,Venda,SC,2500,
17/08/24,Venda,SC,2500,
17/08/24,Venda,RS,2000,
17/08/24,Venda,SC,2500,
17/08/24,Venda,MG,2500,
17/08/24,Venda,SP,2000,
17/08/24,Venda,SC,2500,
17/08/24,Venda,MG,2000,
17/08/24,Venda,CE,2500,
17/08/24,Venda,AM,2000,
19/08/24,Venda,MT,2500,
19/08/24,Venda,PA,2500,
19/08/24,Venda,GO,2500,
19/08/24,Venda,SC,2500,
19/08/24,Venda,BA,2000,
19/08/24,Venda,RS,2000,
19/08/24,Venda,MG,2000,
19/08/24,Venda,PE,2000,
19/08/24,Venda,PR,2500,
19/08/24,Venda,PR,2500,
19/08/24,Venda,PR,2500,
19/08/24,Venda,SP,2000,
19/08/24,Venda,PR,2500,
19/08/24,Venda,SC,2500,
19/08/24,Venda,MG,2000,
19/08/24,Venda,SP,2500,
19/08/24,Venda,SP,2500,
19/08/24,Venda,MA,2500,
19/08/24,Venda,RS,2500,
19/08/24,Venda,AM,2500,
20/08/24,Venda,AM,2500,
20/08/24,Venda,PE,2500,
20/08/24,Venda,SP,2000,
20/08/24,Venda,SC,2500,
20/08/24,Venda,SP,2500,
20/08/24,Venda,SP,2500,
20/08/24,Venda,ES,2500,
20/08/24,Venda,RS,2000,
20/08/24,Venda,RS,2000,
20/08/24,Venda,RS,2000,
20/08/24,Venda,SC,2500,
20/08/24,Venda,RS,2000,
20/08/24,Venda,MG,2000,
20/08/24,Venda,SP,2500,
20/08/24,Venda,RS,2000,
20/08/24,Venda,SE,2000,
20/08/24,Venda,RJ,2000,
21/08/24,Venda,PE,2500,
21/08/24,Venda,BA,2000,
21/08/24,Venda,SC,2000,
21/08/24,Venda,MG,2000,
21/08/24,Venda,MG,2500,
21/08/24,Venda,MG,2500,
21/08/24,Venda,MG,2500,
21/08/24,Venda,MG,2000,
21/08/24,Venda,MG,2500,
21/08/24,Venda,SP,2500,
21/08/24,Venda,RS,2000,
21/08/24,Venda,MG,2500,
21/08/24,Venda,GO,2500,
22/08/24,Venda,MG,2500,
22/08/24,Venda,PE,2500,
22/08/24,Venda,SP,2500,
22/08/24,Venda,SP,2000,
22/08/24,Venda,SP,2000,
22/08/24,Venda,SP,2000,
22/08/24,Venda,PR,2500,
22/08/24,Venda,SP,2000,
22/08/24,Venda,RS,2000,
22/08/24,Venda,MG,2500,
22/08/24,Venda,SP,2000,
22/08/24,Venda,SP,2500,
22/08/24,Venda,RS,2000,
22/08/24,Venda,BA,2300,
22/08/24,Venda,MG,2000,
23/08/24,Venda,BA,2500,
23/08/24,Venda,PE,2000,
23/08/24,Venda,CE,2500,
23/08/24,Venda,AL,2500,
23/08/24,Venda,SE,2000,
23/08/24,Venda,MA,2500,
23/08/24,Venda,PB,2500,
23/08/24,Venda,SP,2000,
23/08/24,Venda,ES,2500,
23/08/24,Venda,SC,2000,
23/08/24,Venda,SC,2500,
23/08/24,Venda,SC,2500,
23/08/24,Venda,SC,2500,
23/08/24,Venda,RS,2000,
23/08/24,Venda,SC,2500,
23/08/24,Venda,MG,2500,
23/08/24,Venda,SP,2000,
23/08/24,Venda,SC,2500,
23/08/24,Venda,MG,2000,
23/08/24,Venda,SP,2500,
23/08/24,Venda,MA,2500,
23/08/24,Venda,TO,2000,
23/08/24,Venda,RS,2500,
24/08/24,Venda,RN,2000,
24/08/24,Venda,PI,2500,
24/08/24,Venda,BA,2500,
24/08/24,Venda,PE,2000,
24/08/24,Venda,CE,2500,
24/08/24,Venda,AL,2500,
24/08/24,Venda,SE,2000,
24/08/24,Venda,MA,2500,
24/08/24,Venda,PB,2500,
24/08/24,Venda,RN,2000,
24/08/24,Venda,SC,2500,
24/08/24,Venda,MG,2000,
24/08/24,Venda,PE,2500,
24/08/24,Venda,PE,2000,
24/08/24,Venda,PE,2000,
24/08/24,Venda,PE,2000,
24/08/24,Venda,PE,2500,
24/08/24,Venda,PE,2000,
24/08/24,Venda,SP,2000,
24/08/24,Venda,SC,2500,
24/08/24,Venda,MG,2000,
24/08/24,Venda,RS,2000,
24/08/24,Venda,CE,2000,
24/08/24,Venda,BA,2500,
24/08/24,Venda,PA,2000,
26/08/24,Venda,SE,2000,
26/08/24,Venda,MA,2500,
26/08/24,Venda,PB,2500,
26/08/24,Venda,RN,2000,
26/08/24,Venda,PI,2500,
26/08/24,Venda,GO,2500,
26/08/24,Venda,SC,2500,
26/08/24,Venda,BA,2000,
26/08/24,Venda,ES,2500,
26/08/24,Venda,SC,2000,
26/08/24,Venda,MG,2000,
26/08/24,Venda,RS,2000,
26/08/24,Venda,RS,2000,
26/08/24,Venda,RS,2000,
26/08/24,Venda,SC,2500,
26/08/24,Venda,MG,2000,
26/08/24,Venda,SP,2500,
26/08/24,Venda,RS,2000,
26/08/24,Venda,RS,2500,
26/08/24,Venda,MG,2000,
27/08/24,Venda,AM,2500,
27/08/24,Venda,PE,2500,
27/08/24,Venda,SP,2000,
27/08/24,Venda,SC,2500,
27/08/24,Venda,PI,2500,
27/08/24,Venda,RS,2500,
27/08/24,Venda,PE,2500,
27/08/24,Venda,SP,2500,
27/08/24,Venda,MG,2500,
27/08/24,Venda,MG,2500,
27/08/24,Venda,MG,2500,
27/08/24,Venda,MG,2000,
27/08/24,Venda,SP,2500,
27/08/24,Venda,RS,2000,
27/08/24,Venda,MG,2500,
27/08/24,Venda,TO,2000,
28/08/24,Venda,BA,2500,
28/08/24,Venda,PE,2000,
28/08/24,Venda,CE,2500,
28/08/24,Venda,AL,2500,
28/08/24,Venda,SP,2000,
28/08/24,Venda,ES,2500,
28/08/24,Venda,SC,2000,
28/08/24,Venda,SP,2000,
28/08/24,Venda,SP,2000,
28/08/24,Venda,SP,2000,
28/08/24,Venda,PR,2500,
28/08/24,Venda,RS,2000,
28/08/24,Venda,MG,2500,
28/08/24,Venda,SP,2000,
28/08/24,Venda,SP,2500,
28/08/24,Venda,CE,2500,
29/08/24,Venda,PR,2500,
29/08/24,Venda,MG,2000,
29/08/24,Venda,PE,2500,
29/08/24,Venda,SC,2500,
29/08/24,Venda,SC,2500,
29/08/24,Venda,SC,2500,
29/08/24,Venda,RS,2000,
29/08/24,Venda,MG,2500,
29/08/24,Venda,SP,2000,
29/08/24,Venda,MG,2000,
29/08/24,Venda,MG,2000,
29/08/24,Venda,GO,2500,
29/08/24,Venda,AP,2000,
30/08/24,Venda,GO,2500,
30/08/24,Venda,PE,2000,
30/08/24,Venda,SP,2500,
30/08/24,Venda,ES,2500,
30/08/24,Venda,MG,2000,
30/08/24,Venda,MG,2000,
30/08/24,Venda,MG,2000,
30/08/24,Venda,PE,2500,
30/08/24,Venda,SP,2000,
30/08/24,Venda,SC,2500,
30/08/24,Venda,SP,2500,
30/08/24,Venda,SC,2500,
30/08/24,Venda,RS,2000,
30/08/24,Venda,RS,2500,
31/08/24,Venda,SC,2500,
31/08/24,Venda,BA,2000,
31/08/24,Venda,AM,2500,
31/08/24,Venda,PE,2500,
31/08/24,Venda,SP,2000,
31/08/24,Venda,TO,2000,
31/08/24,Venda,ES,2500,
31/08/24,Venda,SC,2000,
31/08/24,Venda,MG,2000,
31/08/24,Venda,PR,2500,
31/08/24,Venda,PR,2500,
31/08/24,Venda,PR,2500,
31/08/24,Venda,SP,2000,
31/08/24,Venda,SC,2500,
31/08/24,Venda,MG,2000,
8/31/2024,Venda,MG,2000,
8/31/2024,Venda,BA,2000,
8/31/2024,Venda,TO,2000,
8/31/2024,Venda,SE,2000,
